                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1        -17587.81561        3242.87341      -14344.94219
         2        -17587.78873        3242.77481      -14345.01392
         3        -17587.60225        3242.58903      -14345.01321
         4        -17587.26675        3242.31614      -14344.95060
         5        -17586.74535        3241.95623      -14344.78912
         6        -17586.04727        3241.50948      -14344.53779
         7        -17585.19814        3240.97608      -14344.22207
         8        -17584.17024        3240.35624      -14343.81400
         9        -17582.95225        3239.65024      -14343.30201
        10        -17581.56841        3238.85832      -14342.71009
        11        -17580.00902        3237.98081      -14342.02820
        12        -17578.29842        3237.01803      -14341.28039
        13        -17576.43145        3235.97037      -14340.46108
        14        -17574.39120        3234.83821      -14339.55299
        15        -17572.14142        3233.62196      -14338.51946
        16        -17569.77938        3232.32214      -14337.45724
        17        -17567.24094        3230.93921      -14336.30173
        18        -17564.55078        3229.47367      -14335.07710
        19        -17561.70999        3227.92608      -14333.78391
        20        -17558.70198        3226.29698      -14332.40501
        21        -17555.53982        3224.58703      -14330.95279
        22        -17552.23666        3222.79685      -14329.43981
        23        -17548.78053        3220.92710      -14327.85343
        24        -17545.14169        3218.97848      -14326.16321
        25        -17541.39716        3216.95169      -14324.44547
        26        -17537.45952        3214.84748      -14322.61205
        27        -17533.40887        3212.66662      -14320.74225
        28        -17529.13422        3210.40993      -14318.72428
        29        -17524.76909        3208.07821      -14316.69088
        30        -17520.26039        3205.67236      -14314.58803
        31        -17515.59216        3203.19324      -14312.39892
        32        -17510.77063        3200.64174      -14310.12890
        33        -17505.82732        3198.01883      -14307.80848
        34        -17500.72413        3195.32543      -14305.39870
        35        -17495.49418        3192.56256      -14302.93162
        36        -17490.16025        3189.73119      -14300.42906
        37        -17484.69620        3186.83236      -14297.86384
        38        -17479.06862        3183.86715      -14295.20147
        39        -17473.26639        3180.83661      -14292.42978
        40        -17467.32572        3177.74184      -14289.58387
        41        -17461.32888        3174.58397      -14286.74491
        42        -17455.16110        3171.36411      -14283.79698
        43        -17448.90915        3168.08343      -14280.82572
        44        -17442.51023        3164.74312      -14277.76711
        45        -17435.96226        3161.34437      -14274.61790
        46        -17429.30324        3157.88835      -14271.41489
        47        -17422.58600        3154.37634      -14268.20965
        48        -17415.72564        3150.80957      -14264.91608
        49        -17408.79433        3147.18930      -14261.60503
        50        -17401.75763        3143.51684      -14258.24080
        51        -17394.59141        3139.79342      -14254.79799
        52        -17387.35751        3136.02035      -14251.33716
        53        -17380.02896        3132.19895      -14247.83001
        54        -17372.58912        3128.33054      -14244.25858
        55        -17365.04809        3124.41645      -14240.63164
        56        -17357.42924        3120.45798      -14236.97127
        57        -17349.68932        3116.45646      -14233.23287
        58        -17341.90655        3112.41325      -14229.49329
        59        -17334.08965        3108.32974      -14225.75991
        60        -17326.13909        3104.20726      -14221.93184
        61        -17318.09318        3100.04717      -14218.04601
        62        -17309.94867        3095.85082      -14214.09785
        63        -17301.77499        3091.61958      -14210.15541
        64        -17293.51115        3087.35482      -14206.15634
        65        -17285.18061        3083.05786      -14202.12275
        66        -17276.82613        3078.73012      -14198.09601
        67        -17268.39563        3074.37294      -14194.02269
        68        -17259.94957        3069.98766      -14189.96191
        69        -17251.44179        3065.57563      -14185.86616
        70        -17242.82456        3061.13819      -14181.68637
        71        -17234.19245        3056.67668      -14177.51577
        72        -17225.51256        3052.19242      -14173.32013
        73        -17216.81269        3047.68674      -14169.12596
        74        -17208.05845        3043.16093      -14164.89753
        75        -17199.25246        3038.61633      -14160.63613
        76        -17190.43435        3034.05421      -14156.38014
        77        -17181.58001        3029.47583      -14152.10418
        78        -17172.64748        3024.88246      -14147.76502
        79        -17163.71487        3020.27535      -14143.43952
        80        -17154.76242        3015.65576      -14139.10666
        81        -17145.83561        3011.02493      -14134.81068
        82        -17136.82719        3006.38404      -14130.44315
        83        -17127.84477        3001.73430      -14126.11047
        84        -17118.80334        2997.07692      -14121.72642
        85        -17109.79268        2992.41308      -14117.37959
        86        -17100.77066        2987.74392      -14113.02674
        87        -17091.74101        2983.07059      -14108.67041
        88        -17082.69266        2978.39420      -14104.29846
        89        -17073.63819        2973.71587      -14099.92232
        90        -17064.57685        2969.03667      -14095.54018
        91        -17055.50339        2964.35771      -14091.14568
        92        -17046.42287        2959.68004      -14086.74283
        93        -17037.36993        2955.00465      -14082.36529
        94        -17028.32141        2950.33256      -14077.98885
        95        -17019.31345        2945.66484      -14073.64861
        96        -17010.30059        2941.00242      -14069.29817
        97        -17001.32477        2936.34628      -14064.97848
        98        -16992.36270        2931.69741      -14060.66529
        99        -16983.42964        2927.05670      -14056.37295
       100        -16974.43249        2922.42503      -14052.00746
       101        -16965.51679        2917.80336      -14047.71343
       102        -16956.58805        2913.19255      -14043.39550
       103        -16947.67904        2908.59345      -14039.08560
       104        -16938.77369        2904.00691      -14034.76678
       105        -16929.96553        2899.43376      -14030.53177
       106        -16921.13767        2894.87484      -14026.26282
       107        -16912.33026        2890.33098      -14021.99929
       108        -16903.59529        2885.80292      -14017.79237
       109        -16894.87638        2881.29137      -14013.58501
       110        -16886.21940        2876.79710      -14009.42231
       111        -16877.55921        2872.32087      -14005.23834
       112        -16868.96693        2867.86337      -14001.10356
       113        -16860.39790        2863.42527      -13996.97263
       114        -16851.89202        2859.00727      -13992.88474
       115        -16843.44323        2854.61004      -13988.83319
       116        -16835.04094        2850.23419      -13984.80675
       117        -16826.68346        2845.88039      -13980.80307
       118        -16818.37649        2841.54924      -13976.82725
       119        -16810.05002        2837.24131      -13972.80870
       120        -16801.76004        2832.95720      -13968.80284
       121        -16793.52252        2828.69746      -13964.82506
       122        -16785.41265        2824.46267      -13960.94998
       123        -16777.32923        2820.25334      -13957.07589
       124        -16769.33406        2816.07000      -13953.26405
       125        -16761.33333        2811.91316      -13949.42017
       126        -16753.37988        2807.78332      -13945.59656
       127        -16745.52504        2803.68095      -13941.84409
       128        -16737.66159        2799.60653      -13938.05506
       129        -16729.92234        2795.56052      -13934.36182
       130        -16722.20738        2791.54335      -13930.66403
       131        -16714.57678        2787.55542      -13927.02136
       132        -16706.98686        2783.59714      -13923.38972
       133        -16699.46660        2779.66891      -13919.79769
       134        -16691.98124        2775.77113      -13916.21010
       135        -16684.54333        2771.90417      -13912.63916
       136        -16677.21729        2768.06835      -13909.14894
       137        -16669.96232        2764.26405      -13905.69827
       138        -16662.75840        2760.49164      -13902.26676
       139        -16655.60316        2756.75140      -13898.85176
       140        -16648.52245        2753.04368      -13895.47877
       141        -16641.51540        2749.36879      -13892.14662
       142        -16634.59740        2745.72698      -13888.87042
       143        -16627.72747        2742.11855      -13885.60892
       144        -16620.94029        2738.54380      -13882.39649
       145        -16614.20081        2735.00297      -13879.19784
       146        -16607.54950        2731.49630      -13876.05319
       147        -16600.94980        2728.02404      -13872.92575
       148        -16594.40809        2724.58644      -13869.82166
       149        -16587.93815        2721.18370      -13866.75445
       150        -16581.55375        2717.81603      -13863.73772
       151        -16575.25373        2714.48362      -13860.77011
       152        -16569.01486        2711.18671      -13857.82815
       153        -16562.85821        2707.92545      -13854.93276
       154        -16556.72927        2704.69999      -13852.02928
       155        -16550.68023        2701.51055      -13849.16968
       156        -16544.71590        2698.35728      -13846.35863
       157        -16538.79656        2695.24032      -13843.55624
       158        -16532.99952        2692.15983      -13840.83968
       159        -16527.26435        2689.11598      -13838.14837
       160        -16521.61055        2686.10885      -13835.50170
       161        -16516.01613        2683.13859      -13832.87754
       162        -16510.46351        2680.20531      -13830.25820
       163        -16505.00329        2677.30911      -13827.69418
       164        -16499.67718        2674.45012      -13825.22705
       165        -16494.39796        2671.62844      -13822.76951
       166        -16489.18209        2668.84414      -13820.33795
       167        -16484.04151        2666.09727      -13817.94423
       168        -16478.98229        2663.38790      -13815.59438
       169        -16473.98228        2660.71610      -13813.26619
       170        -16469.09199        2658.08192      -13811.01008
       171        -16464.24333        2655.48539      -13808.75794
       172        -16459.51196        2652.92659      -13806.58537
       173        -16454.83275        2650.40555      -13804.42720
       174        -16450.22799        2647.92228      -13802.30571
       175        -16445.73917        2645.47679      -13800.26239
       176        -16441.29516        2643.06909      -13798.22607
       177        -16436.96853        2640.69916      -13796.26937
       178        -16432.62592        2638.36702      -13794.25890
       179        -16428.39768        2636.07265      -13792.32503
       180        -16424.21860        2633.81601      -13790.40259
       181        -16420.12409        2631.59707      -13788.52702
       182        -16416.13482        2629.41577      -13786.71905
       183        -16412.20774        2627.27210      -13784.93564
       184        -16408.37088        2625.16599      -13783.20489
       185        -16404.60037        2623.09733      -13781.50303
       186        -16400.84706        2621.06603      -13779.78104
       187        -16397.23225        2619.07198      -13778.16027
       188        -16393.70539        2617.11512      -13776.59027
       189        -16390.22331        2615.19532      -13775.02799
       190        -16386.80055        2613.31246      -13773.48808
       191        -16383.50647        2611.46642      -13772.04005
       192        -16380.27266        2609.65707      -13770.61559
       193        -16377.09440        2607.88427      -13769.21013
       194        -16373.96838        2606.14785      -13767.82054
       195        -16370.92836        2604.44763      -13766.48072
       196        -16367.98428        2602.78343      -13765.20084
       197        -16365.08538        2601.15506      -13763.93032
       198        -16362.27277        2599.56234      -13762.71044
       199        -16359.53414        2598.00501      -13761.52913
       200        -16356.87646        2596.48286      -13760.39360
       201        -16354.20735        2594.99567      -13759.21168
       202        -16351.70416        2593.54318      -13758.16097
       203        -16349.21519        2592.12513      -13757.09005
       204        -16346.77102        2590.74125      -13756.02977
       205        -16344.44662        2589.39123      -13755.05539
       206        -16342.17023        2588.07476      -13754.09548
       207        -16339.97090        2586.79155      -13753.17934
       208        -16337.84353        2585.54129      -13752.30224
       209        -16335.80818        2584.32363      -13751.48456
       210        -16333.80050        2583.13826      -13750.66224
       211        -16331.85982        2581.98485      -13749.87497
       212        -16329.99574        2580.86299      -13749.13275
       213        -16328.15863        2579.77235      -13748.38628
       214        -16326.39368        2578.71252      -13747.68116
       215        -16324.67191        2577.68312      -13746.98878
       216        -16323.03398        2576.68372      -13746.35026
       217        -16321.45384        2575.71391      -13745.73993
       218        -16319.90986        2574.77322      -13745.13664
       219        -16318.42935        2573.86128      -13744.56807
       220        -16317.02626        2572.97761      -13744.04865
       221        -16315.69219        2572.12174      -13743.57046
       222        -16314.37882        2571.29319      -13743.08563
       223        -16313.13556        2570.49152      -13742.64404
       224        -16312.00147        2569.71623      -13742.28523
       225        -16310.84809        2568.96682      -13741.88127
       226        -16309.79588        2568.24276      -13741.55312
       227        -16308.72084        2567.54355      -13741.17729
       228        -16307.72711        2566.86865      -13740.85846
       229        -16306.77507        2566.21753      -13740.55754
       230        -16305.83849        2565.58967      -13740.24883
       231        -16304.98151        2564.98453      -13739.99698
       232        -16304.16889        2564.40155      -13739.76734
       233        -16303.35062        2563.84015      -13739.51047
       234        -16302.65446        2563.29979      -13739.35467
       235        -16301.93707        2562.77991      -13739.15716
       236        -16301.29659        2562.27993      -13739.01666
       237        -16300.71552        2561.79925      -13738.91627
       238        -16300.15564        2561.33730      -13738.81834
       239        -16299.65881        2560.89353      -13738.76528
       240        -16299.17495        2560.46734      -13738.70761
       241        -16298.72217        2560.05815      -13738.66402
       242        -16298.28737        2559.66534      -13738.62202
       243        -16297.90647        2559.28836      -13738.61810
       244        -16297.51307        2558.92660      -13738.58647
       245        -16297.17560        2558.57946      -13738.59615
       246        -16296.86026        2558.24632      -13738.61394
       247        -16296.57331        2557.92664      -13738.64667
       248        -16296.33580        2557.61983      -13738.71597
       249        -16296.13473        2557.32530      -13738.80943
       250        -16295.93779        2557.04246      -13738.89533
       251        -16295.77643        2556.77074      -13739.00569
       252        -16295.64209        2556.50955      -13739.13254
       253        -16295.53660        2556.25835      -13739.27825
       254        -16295.43510        2556.01656      -13739.41853
       255        -16295.35722        2555.78361      -13739.57361
       256        -16295.29742        2555.55896      -13739.73845
       257        -16295.23532        2555.34207      -13739.89325
       258        -16295.14907        2555.13237      -13740.01670
       259        -16295.11614        2554.92932      -13740.18682
       260        -16295.08809        2554.73245      -13740.35565
       261        -16295.00613        2554.54121      -13740.46491
       262        -16294.97291        2554.35511      -13740.61780
       263        -16295.04229        2554.17364      -13740.86865
       264        -16295.07843        2553.99630      -13741.08213
       265        -16295.07141        2553.82257      -13741.24884
       266        -16295.10179        2553.65200      -13741.44979
       267        -16295.10793        2553.48415      -13741.62377
       268        -16295.15110        2553.31853      -13741.83257
       269        -16295.19488        2553.15473      -13742.04015
       270        -16295.22066        2552.99230      -13742.22836
       271        -16295.24977        2552.83081      -13742.41896
       272        -16295.23546        2552.66987      -13742.56559
       273        -16295.28510        2552.50906      -13742.77605
       274        -16295.31341        2552.34797      -13742.96544
       275        -16295.36707        2552.18624      -13743.18083
       276        -16295.39198        2552.02350      -13743.36848
       277        -16295.42597        2551.85938      -13743.56658
       278        -16295.47132        2551.69358      -13743.77773
       279        -16295.52742        2551.52576      -13744.00166
       280        -16295.54915        2551.35559      -13744.19356
       281        -16295.58035        2551.18277      -13744.39757
       282        -16295.59522        2551.00700      -13744.58823
       283        -16295.58882        2550.82804      -13744.76078
       284        -16295.60503        2550.64558      -13744.95946
       285        -16295.55298        2550.45939      -13745.09358
       286        -16295.54181        2550.26921      -13745.27259
       287        -16295.52806        2550.07480      -13745.45326
       288        -16295.50534        2549.87593      -13745.62941
       289        -16295.45548        2549.67243      -13745.78305
       290        -16295.40629        2549.46409      -13745.94221
       291        -16295.30849        2549.25071      -13746.05779
       292        -16295.21951        2549.03216      -13746.18735
       293        -16295.15684        2548.80826      -13746.34858
       294        -16295.01053        2548.57887      -13746.43166
       295        -16294.91963        2548.34388      -13746.57575
       296        -16294.80389        2548.10318      -13746.70071
       297        -16294.65421        2547.85662      -13746.79759
       298        -16294.48371        2547.60414      -13746.87958
       299        -16294.35447        2547.34561      -13747.00886
       300        -16294.18776        2547.08099      -13747.10677
       301        -16294.02050        2546.81018      -13747.21032
       302        -16293.85117        2546.53319      -13747.31798
       303        -16293.64410        2546.24994      -13747.39415
       304        -16293.40960        2545.96041      -13747.44919
       305        -16293.14320        2545.66460      -13747.47860
       306        -16292.90122        2545.36250      -13747.53872
       307        -16292.67331        2545.05413      -13747.61918
       308        -16292.39136        2544.73949      -13747.65187
       309        -16292.10277        2544.41862      -13747.68415
       310        -16291.73361        2544.09153      -13747.64207
       311        -16291.40685        2543.75826      -13747.64858
       312        -16291.09744        2543.41888      -13747.67856
