                               No. of Molecules =     5400
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         63.4818
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1         -7451.37221        1367.90542       -6083.46680
         2         -7451.26808        1367.82901       -6083.43907
         3         -7451.11662        1367.71634       -6083.40028
         4         -7450.88087        1367.56744       -6083.31343
         5         -7450.55346        1367.38233       -6083.17113
         6         -7450.18639        1367.16107       -6083.02532
         7         -7449.75755        1366.90372       -6082.85383
         8         -7449.23898        1366.61038       -6082.62860
         9         -7448.67531        1366.28113       -6082.39418
        10         -7448.03416        1365.91607       -6082.11810
        11         -7447.31875        1365.51534       -6081.80342
        12         -7446.51602        1365.07907       -6081.43695
        13         -7445.70185        1364.60741       -6081.09443
        14         -7444.76100        1364.10054       -6080.66046
        15         -7443.77084        1363.55858       -6080.21226
        16         -7442.72136        1362.98175       -6079.73961
        17         -7441.58039        1362.37024       -6079.21015
        18         -7440.38688        1361.72426       -6078.66262
        19         -7439.12941        1361.04403       -6078.08537
        20         -7437.80995        1360.32979       -6077.48016
        21         -7436.41566        1359.58180       -6076.83386
        22         -7434.98855        1358.80027       -6076.18827
        23         -7433.48913        1357.98552       -6075.50361
        24         -7431.91209        1357.13782       -6074.77428
        25         -7430.26393        1356.25744       -6074.00649
        26         -7428.53930        1355.34469       -6073.19461
        27         -7426.78779        1354.39991       -6072.38788
        28         -7424.95672        1353.42345       -6071.53327
        29         -7423.04534        1352.41564       -6070.62970
        30         -7421.08693        1351.37684       -6069.71010
        31         -7419.08228        1350.30741       -6068.77487
        32         -7417.00096        1349.20772       -6067.79324
        33         -7414.85563        1348.07817       -6066.77746
        34         -7412.65305        1346.91916       -6065.73389
        35         -7410.38217        1345.73111       -6064.65106
        36         -7408.09273        1344.51442       -6063.57832
        37         -7405.73669        1343.26951       -6062.46718
        38         -7403.27789        1341.99687       -6061.28102
        39         -7400.78397        1340.69692       -6060.08705
        40         -7398.26768        1339.37015       -6058.89753
        41         -7395.69152        1338.01704       -6057.67448
        42         -7393.05492        1336.63806       -6056.41687
        43         -7390.36184        1335.23369       -6055.12815
        44         -7387.64442        1333.80447       -6053.83995
        45         -7384.85034        1332.35088       -6052.49946
        46         -7382.05322        1330.87343       -6051.17979
        47         -7379.18889        1329.37265       -6049.81624
        48         -7376.26290        1327.84909       -6048.41381
        49         -7373.26596        1326.30327       -6046.96269
        50         -7370.25550        1324.73577       -6045.51972
        51         -7367.18076        1323.14712       -6044.03365
        52         -7364.10507        1321.53788       -6042.56719
        53         -7360.99254        1319.90861       -6041.08394
        54         -7357.80871        1318.25988       -6039.54883
