                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1        -17587.82806        3243.04001      -14344.78805
         2        -17587.82806        3243.27458      -14344.55348
         3        -17587.82806        3243.58847      -14344.23960
         4        -17587.82806        3243.98167      -14343.84640
         5        -17587.82806        3244.45418      -14343.37388
         6        -17587.82806        3245.00601      -14342.82205
         7        -17587.82806        3245.63716      -14342.19091
         8        -17587.82806        3246.34762      -14341.48045
         9        -17587.82806        3247.13739      -14340.69067
        10        -17587.82806        3248.00648      -14339.82158
        11        -17587.82806        3248.95488      -14338.87318
        12        -17587.82806        3249.98260      -14337.84546
        13        -17587.82806        3251.08964      -14336.73843
        14        -17587.82806        3252.27599      -14335.55208
        15        -17587.82806        3253.54165      -14334.28641
        16        -17587.82806        3254.88663      -14332.94144
        17        -17587.82806        3256.31092      -14331.51714
        18        -17587.82806        3257.81453      -14330.01353
        19        -17587.82806        3259.39745      -14328.43061
        20        -17587.82806        3261.05969      -14326.76837
        21        -17587.82806        3262.80124      -14325.02682
        22        -17587.82806        3264.62211      -14323.20595
        23        -17587.82806        3266.52229      -14321.30577
        24        -17587.82806        3268.50179      -14319.32627
        25        -17587.82806        3270.56060      -14317.26746
        26        -17587.82806        3272.69873      -14315.12933
        27        -17587.82806        3274.91617      -14312.91189
        28        -17587.82806        3277.21293      -14310.61513
        29        -17587.82806        3279.58900      -14308.23906
        30        -17587.82806        3282.04439      -14305.78368
        31        -17587.82806        3284.57909      -14303.24897
        32        -17587.82806        3287.19311      -14300.63496
        33        -17587.82806        3289.88644      -14297.94163
        34        -17587.82806        3292.65908      -14295.16898
        35        -17587.82806        3295.51104      -14292.31702
        36        -17587.82806        3298.44232      -14289.38574
        37        -17587.82806        3301.45291      -14286.37515
        38        -17587.82806        3304.54282      -14283.28525
        39        -17587.82806        3307.71204      -14280.11603
        40        -17587.82806        3310.96057      -14276.86749
        41        -17587.82806        3314.28842      -14273.53964
        42        -17587.82806        3317.69559      -14270.13248
        43        -17587.82806        3321.18207      -14266.64600
        44        -17587.82806        3324.74786      -14263.08020
        45        -17587.82806        3328.39297      -14259.43509
        46        -17587.82806        3332.11740      -14255.71067
        47        -17587.82806        3335.92114      -14251.90693
        48        -17587.82806        3339.80419      -14248.02387
        49        -17587.82806        3343.76656      -14244.06150
        50        -17587.82806        3347.80824      -14240.01982
        51        -17587.82806        3351.92924      -14235.89882
        52        -17587.82806        3356.12956      -14231.69851
        53        -17587.82806        3360.40918      -14227.41888
        54        -17587.82806        3364.76813      -14223.05994
        55        -17587.82806        3369.20639      -14218.62168
        56        -17587.82806        3373.72396      -14214.10410
        57        -17587.82806        3378.32085      -14209.50722
        58        -17587.82806        3382.99705      -14204.83101
        59        -17587.82806        3387.75257      -14200.07550
        60        -17587.82806        3392.58740      -14195.24066
        61        -17587.82806        3397.50155      -14190.32652
        62        -17587.82806        3402.49501      -14185.33305
        63        -17587.82806        3407.56779      -14180.26028
        64        -17587.82806        3412.71988      -14175.10818
        65        -17587.82806        3417.95129      -14169.87678
        66        -17587.82806        3423.26201      -14164.56605
        67        -17587.82806        3428.65205      -14159.17602
        68        -17587.82806        3434.12140      -14153.70667
        69        -17587.82806        3439.67006      -14148.15800
        70        -17587.82806        3445.29805      -14142.53002
        71        -17587.82806        3451.00534      -14136.82272
        72        -17587.82806        3456.79195      -14131.03611
        73        -17587.82806        3462.65788      -14125.17018
        74        -17587.82806        3468.60312      -14119.22494
        75        -17587.82806        3474.62768      -14113.20039
        76        -17587.82806        3480.73155      -14107.09652
        77        -17587.82806        3486.91473      -14100.91333
        78        -17587.82806        3493.17723      -14094.65083
        79        -17587.82806        3499.51905      -14088.30902
        80        -17587.82806        3505.94018      -14081.88789
        81        -17587.82806        3512.44062      -14075.38744
        82        -17587.82806        3519.02038      -14068.80768
        83        -17587.82806        3525.67946      -14062.14861
        84        -17587.82806        3532.41785      -14055.41022
        85        -17587.82806        3539.23555      -14048.59251
        86        -17587.82806        3546.13257      -14041.69549
        87        -17587.82806        3553.10890      -14034.71916
        88        -17587.82806        3560.16455      -14027.66351
        89        -17587.82806        3567.29952      -14020.52855
        90        -17587.82806        3574.51380      -14013.31427
        91        -17587.82806        3581.80739      -14006.02067
        92        -17587.82806        3589.18030      -13998.64777
        93        -17587.82806        3596.63252      -13991.19554
        94        -17587.82806        3604.16406      -13983.66400
        95        -17587.82806        3611.77491      -13976.05315
        96        -17587.82806        3619.46508      -13968.36298
        97        -17587.82806        3627.23456      -13960.59350
        98        -17587.82806        3635.08336      -13952.74470
        99        -17587.82806        3643.01147      -13944.81659
       100        -17587.82806        3651.01890      -13936.80916
