                               No. of Molecules =     1600
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         42.3212
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1         -2207.83784         405.10436       -1802.73348
         2         -2207.83784         405.08000       -1802.75784
         3         -2207.83784         405.06581       -1802.77203
         4         -2207.83784         405.06180       -1802.77604
         5         -2207.83784         405.06795       -1802.76989
         6         -2207.83784         405.08428       -1802.75356
         7         -2207.83784         405.11079       -1802.72705
         8         -2207.83784         405.14746       -1802.69038
         9         -2207.83784         405.19431       -1802.64353
        10         -2207.83784         405.25134       -1802.58651
        11         -2207.83784         405.31853       -1802.51931
        12         -2207.83784         405.39590       -1802.44194
        13         -2207.83784         405.48344       -1802.35440
        14         -2207.83784         405.58115       -1802.25669
        15         -2207.83784         405.68904       -1802.14880
        16         -2207.83784         405.80710       -1802.03074
        17         -2207.83784         405.93533       -1801.90251
        18         -2207.83784         406.07374       -1801.76410
        19         -2207.83784         406.22232       -1801.61552
        20         -2207.83784         406.38107       -1801.45677
        21         -2207.83784         406.54999       -1801.28785
        22         -2207.83784         406.72909       -1801.10875
        23         -2207.83784         406.91836       -1800.91948
        24         -2207.83784         407.11780       -1800.72004
        25         -2207.83784         407.32742       -1800.51042
        26         -2207.83784         407.54721       -1800.29063
        27         -2207.83784         407.77717       -1800.06067
        28         -2207.83784         408.01730       -1799.82054
        29         -2207.83784         408.26761       -1799.57023
        30         -2207.83784         408.52809       -1799.30975
        31         -2207.83784         408.79874       -1799.03910
        32         -2207.83784         409.07957       -1798.75827
        33         -2207.83784         409.37057       -1798.46727
        34         -2207.83784         409.67174       -1798.16610
        35         -2207.83784         409.98309       -1797.85475
        36         -2207.83784         410.30461       -1797.53324
        37         -2207.83784         410.63630       -1797.20154
        38         -2207.83784         410.97816       -1796.85968
        39         -2207.83784         411.33020       -1796.50764
        40         -2207.83784         411.69241       -1796.14543
        41         -2207.83784         412.06479       -1795.77305
        42         -2207.83784         412.44735       -1795.39050
        43         -2207.83784         412.84007       -1794.99777
        44         -2207.83784         413.24298       -1794.59487
        45         -2207.83784         413.65605       -1794.18179
        46         -2207.83784         414.07930       -1793.75854
        47         -2207.83784         414.51272       -1793.32512
        48         -2207.83784         414.95631       -1792.88153
        49         -2207.83784         415.41008       -1792.42776
        50         -2207.83784         415.87402       -1791.96383
        51         -2207.83784         416.34813       -1791.48971
        52         -2207.83784         416.83241       -1791.00543
        53         -2207.83784         417.32687       -1790.51097
        54         -2207.83784         417.83150       -1790.00634
        55         -2207.83784         418.34630       -1789.49154
        56         -2207.83784         418.87128       -1788.96656
        57         -2207.83784         419.40643       -1788.43141
        58         -2207.83784         419.95175       -1787.88609
        59         -2207.83784         420.50725       -1787.33059
        60         -2207.83784         421.07291       -1786.76493
        61         -2207.83784         421.64876       -1786.18909
        62         -2207.83784         422.23477       -1785.60307
        63         -2207.83784         422.83096       -1785.00688
        64         -2207.83784         423.43732       -1784.40052
        65         -2207.83784         424.05385       -1783.78399
        66         -2207.83784         424.68056       -1783.15729
        67         -2207.83784         425.31743       -1782.52041
        68         -2207.83784         425.96449       -1781.87336
        69         -2207.83784         426.62171       -1781.21613
        70         -2207.83784         427.28911       -1780.54873
        71         -2207.83784         427.96668       -1779.87116
        72         -2207.83784         428.65442       -1779.18342
        73         -2207.83784         429.35234       -1778.48550
        74         -2207.83784         430.06043       -1777.77742
        75         -2207.83784         430.77869       -1777.05915
        76         -2207.83784         431.50712       -1776.33072
        77         -2207.83784         432.24573       -1775.59211
        78         -2207.83784         432.99451       -1774.84333
        79         -2207.83784         433.75346       -1774.08438
        80         -2207.83784         434.52259       -1773.31525
        81         -2207.83784         435.30189       -1772.53595
        82         -2207.83784         436.09136       -1771.74648
        83         -2207.83784         436.89101       -1770.94683
        84         -2207.83784         437.70083       -1770.13702
        85         -2207.83784         438.52082       -1769.31702
        86         -2207.83784         439.35098       -1768.48686
        87         -2207.83784         440.19132       -1767.64652
        88         -2207.83784         441.04183       -1766.79601
        89         -2207.83784         441.90251       -1765.93533
        90         -2207.83784         442.77337       -1765.06447
        91         -2207.83784         443.65440       -1764.18345
        92         -2207.83784         444.54560       -1763.29224
        93         -2207.83784         445.44697       -1762.39087
        94         -2207.83784         446.35852       -1761.47932
        95         -2207.83784         447.28024       -1760.55760
        96         -2207.83784         448.21213       -1759.62571
